Timestamp_ms,K_Type_Temp_C,PT100_Temp_C,Error_C
0,26.2,25.0,1.2
500,26.23,25.0,1.23
1000,26.11,25.0,1.11
1500,26.27,25.0,1.27
2000,26.2,25.0,1.2
2500,26.25,25.0,1.25
3000,26.15,25.0,1.15
3500,26.3,25.0,1.3
4000,26.23,25.0,1.23
4500,26.36,25.0,1.36
5000,26.13,25.0,1.13
5500,26.04,25.0,1.04
6000,25.88,25.0,0.88
6500,25.91,25.0,0.91
7000,26.12,25.0,1.12
7500,26.12,25.0,1.12
8000,26.09,25.0,1.09
8500,25.97,25.0,0.97
9000,25.59,25.0,0.59
9500,25.78,25.0,0.78
10000,26.04,25.0,1.04
10500,26.08,25.0,1.08
11000,26.05,25.0,1.05
11500,25.91,25.0,0.91
12000,26.01,25.0,1.01
12500,26.03,25.0,1.03
13000,26.04,25.0,1.04
13500,26.26,25.0,1.26
14000,26.2,25.0,1.2
14500,25.89,25.0,0.89
15000,26.14,25.0,1.14
15500,26.17,25.0,1.17
16000,26.14,25.0,1.14
16500,26.15,25.0,1.15
17000,26.35,25.0,1.35
17500,26.23,25.0,1.23
18000,26.23,25.0,1.23
18500,26.11,25.0,1.11
19000,25.86,25.0,0.86
19500,25.63,25.0,0.63
20000,25.89,25.0,0.89
20500,26.09,25.0,1.09
21000,25.94,25.0,0.94
21500,26.1,25.0,1.1
22000,26.09,25.0,1.09
22500,26.16,25.0,1.16
23000,26.26,25.0,1.26
23500,26.16,25.0,1.16
24000,26.08,25.0,1.08
24500,25.91,25.0,0.91
25000,25.9,25.0,0.9
25500,25.8,25.0,0.8
26000,25.9,25.0,0.9
26500,25.78,25.0,0.78
27000,25.54,25.0,0.54
27500,25.55,25.0,0.55
28000,25.41,25.0,0.41
28500,25.39,25.0,0.39
29000,25.28,25.0,0.28
29500,25.32,25.0,0.32
30000,25.36,25.0,0.36
30500,25.17,25.0,0.17
31000,25.01,25.0,0.01
31500,24.98,25.0,-0.02
32000,25.3,25.0,0.3
32500,25.42,25.0,0.42
33000,25.5,25.0,0.5
33500,25.76,25.0,0.76
34000,25.66,25.0,0.66
34500,25.69,25.0,0.69
35000,25.92,25.0,0.92
35500,25.92,25.0,0.92
36000,26.36,25.0,1.36
36500,26.07,25.0,1.07
37000,25.85,25.0,0.85
37500,25.67,25.0,0.67
38000,25.5,25.0,0.5
38500,25.58,25.0,0.58
39000,25.65,25.0,0.65
39500,25.57,25.0,0.57
40000,25.4,25.0,0.4
40500,25.38,25.0,0.38
41000,25.39,25.0,0.39
41500,25.19,25.0,0.19
42000,25.1,25.0,0.1
42500,24.96,25.0,-0.04
43000,25.0,25.0,0.0
43500,25.07,25.0,0.07
44000,25.19,25.0,0.19
44500,25.24,25.0,0.24
45000,25.37,25.0,0.37
45500,25.32,25.0,0.32
46000,25.21,25.0,0.21
46500,25.12,25.0,0.12
47000,25.03,25.0,0.03
47500,25.06,25.0,0.06
48000,25.08,25.0,0.08
48500,25.19,25.0,0.19
49000,24.82,25.0,-0.18
49500,24.8,25.0,-0.2
50000,24.75,25.0,-0.25
50500,24.88,25.0,-0.12
51000,24.95,25.0,-0.05
51500,24.83,25.0,-0.17
52000,25.03,25.0,0.03
52500,25.06,25.0,0.06
53000,24.88,25.0,-0.12
53500,25.2,25.0,0.2
54000,25.24,25.0,0.24
54500,25.23,25.0,0.23
55000,25.25,25.0,0.25
55500,25.43,25.0,0.43
56000,25.41,25.0,0.41
56500,25.29,25.0,0.29
57000,25.48,25.0,0.48
57500,25.65,25.0,0.65
58000,25.58,25.0,0.58
58500,25.63,25.0,0.63
59000,25.47,25.0,0.47
59500,25.24,25.0,0.24
60000,25.23,25.0,0.23
60500,25.62,25.0,0.62
61000,25.54,25.0,0.54
61500,25.14,25.0,0.14
62000,25.23,25.0,0.23
62500,25.25,25.0,0.25
63000,25.41,25.0,0.41
63500,25.34,25.0,0.34
64000,25.5,25.0,0.5
64500,25.7,25.0,0.7
65000,25.69,25.0,0.69
65500,25.65,25.0,0.65
66000,25.62,25.0,0.62
66500,25.8,25.0,0.8
67000,25.71,25.0,0.71
67500,25.65,25.0,0.65
68000,25.75,25.0,0.75
68500,25.99,25.0,0.99
69000,25.85,25.0,0.85
69500,26.06,25.0,1.06
70000,26.03,25.0,1.03
70500,25.93,25.0,0.93
71000,25.84,25.0,0.84
71500,25.56,25.0,0.56
72000,25.42,25.0,0.42
72500,25.17,25.0,0.17
73000,25.16,25.0,0.16
73500,25.02,25.0,0.02
74000,25.08,25.0,0.08
74500,25.09,25.0,0.09
75000,24.94,25.0,-0.06
75500,25.07,25.0,0.07
76000,25.11,25.0,0.11
76500,25.33,25.0,0.33
77000,25.37,25.0,0.37
77500,25.54,25.0,0.54
78000,25.26,25.0,0.26
78500,25.26,25.0,0.26
79000,25.39,25.0,0.39
79500,25.46,25.0,0.46
80000,25.42,25.0,0.42
80500,25.22,25.0,0.22
81000,25.26,25.0,0.26
81500,25.36,25.0,0.36
82000,25.14,25.0,0.14
82500,25.27,25.0,0.27
83000,25.04,25.0,0.04
83500,25.06,25.0,0.06
84000,25.01,25.0,0.01
84500,24.93,25.0,-0.07
85000,25.34,25.0,0.34
85500,25.31,25.0,0.31
86000,25.18,25.0,0.18
86500,25.46,25.0,0.46
87000,25.48,25.0,0.48
87500,25.64,25.0,0.64
88000,25.73,25.0,0.73
88500,25.43,25.0,0.43
89000,25.45,25.0,0.45
89500,25.58,25.0,0.58
90000,25.46,25.0,0.46
90500,25.33,25.0,0.33
91000,25.17,25.0,0.17
91500,25.01,25.0,0.01
92000,25.14,25.0,0.14
92500,25.2,25.0,0.2
93000,25.24,25.0,0.24
93500,25.29,25.0,0.29
94000,25.09,25.0,0.09
94500,25.34,25.0,0.34
95000,25.49,25.0,0.49
95500,25.65,25.0,0.65
96000,25.74,25.0,0.74
96500,25.66,25.0,0.66
97000,25.53,25.0,0.53
97500,25.6,25.0,0.6
98000,25.61,25.0,0.61
98500,25.61,25.0,0.61
99000,25.72,25.0,0.72
99500,25.83,25.0,0.83
100000,25.85,25.0,0.85
100500,25.85,25.0,0.85
101000,25.73,25.0,0.73
101500,25.34,25.0,0.34
102000,25.43,25.0,0.43
102500,25.34,25.0,0.34
103000,25.28,25.0,0.28
103500,25.38,25.0,0.38
104000,25.48,25.0,0.48
104500,25.68,25.0,0.68
105000,25.75,25.0,0.75
105500,25.8,25.0,0.8
106000,26.08,25.0,1.08
106500,26.02,25.0,1.02
107000,25.97,25.0,0.97
107500,26.05,25.0,1.05
108000,25.94,25.0,0.94
108500,26.14,25.0,1.14
109000,26.01,25.0,1.01
109500,26.17,25.0,1.17
110000,26.29,25.0,1.29
110500,26.13,25.0,1.13
111000,26.0,25.0,1.0
111500,26.07,25.0,1.07
112000,26.07,25.0,1.07
112500,26.06,25.0,1.06
113000,26.19,25.0,1.19
113500,26.05,25.0,1.05
114000,26.25,25.0,1.25
114500,26.3,25.0,1.3
115000,26.1,25.0,1.1
115500,25.87,25.0,0.87
116000,25.86,25.0,0.86
116500,26.2,25.0,1.2
117000,26.18,25.0,1.18
117500,25.96,25.0,0.96
